content,score
"JELEEEEK banget ini aplikasi pelayanan dan kualitas nya sekarang. pesan GOCAR,ada banyak driver yang dekat, yang dipilih malah driver yang lokasi nya 30menit dari lokasi. jadinya driver pada minta cancel orderan atau malah gak dijemput tanpa info ke kita. di GOFOOD ongkos pengemasan mahal, ada fee parkir pula, tapi driver minta untuk di bayarin juga ongkos parkir nya sama kita pas makanan diantar. MAKIN KESINI MAKIN JELEK POKOKNYA INI APLIKASI. YANG BELUM INSTAL MENDING GAK USAH INSTAL!!!!",1
Terbaik,5
oke,4
"Tiap pesan, Dapat drivernya jauh-jauh. lalu rating akun saya tiba-tiba 3 koma sekian..padahal baru buat.",1
"sebagai customer banyak yg ngasih rating saya jelek, padahal sy suka kasih tips. saya gak tahu alasan pastinya. yg sy sesali sy gak bisa lihat rating sy sendiri, apalagi driver mana yg ngasih sy rating. ini gak adil. saya jd susah kalau order gojek, mending pakai yg lain.",1
mantap,4
mantaaap,5
driver nya ramah ramah and apk nya baguss dann berguna banget,5
"susah banget batal in pesanan, masa iya nunggu 1 jam buat dapat driver, nyusahin banget",1
Top joss,5
"kadang kalo pesan gofood lama bgt kita pesen jam 8 malem di antar jam 11 malem, semoga bs lbh di cepatin ya",4
Mantul bgt dh pokok nya,5
tetap bergocar agar selalu lancar,5
nice,5
woke bosku,5
"good👍,tarifnya yang sekarang mahal 12.500. di banding grab 11k maupun maxim 10.200.itu sangat membantu kami pencari uang juga. jadi, lebih milih harga termurah biar kami bisa berhemat untuk biaya transportasi.",3
sangat membantu untuk segala urusan,5
ok,5
GA SUKA GA SUKAAAAAAAA KEMBALIIN GORIDE COMFORT!!!,1
perilaku driver yg mengaku teman anggota brimob membuat tidak aman bagi saya KLO akun kesuspen malah minta ganti rugi dan saya rugi jutaan,1
lagi terburu-buru atau santai. setiap pesen layanan gocar pasti dapat driver yang jauh-jauh haha konyol banget deh. padahal driver terdekat banyak. hahaha kok tidak ada perubahan sistem nya sih,1
"kenapa paylater saya di blokir padahal saya sudah bayar sebelum jatuh tempo, saya jadi kecewa dan slalu makai Go-Jek slalu tapi diginiin ,, klau mmng tidak bisa maka saya akan hpus akun sya",4
murah meriah mareki....,5
"Good Quality and Qualified product, recommended.🙏",5
gojek makin gak bermutu,1
"aplikasinya membantu banget, pas nge order makanan, sikap driver nya semua baik baik, pas minta anter juga, kasih harga murah, pokoknya GoJek the best, aku seneng banget pake ini, aplikasi praktis, aku juga udah mulai belajar ke yang lebih tua, kata aku SD😃, Aku dapet banyak ilmu, contoh nya hormat dan sopan ke yang lebih tua, makasih GoJek, aku seneng banget baiii😆",5
mau ngecek go transit aja hpnya harus ada dilokasi yang tersedia. aneh.... tolong bikin fleksibel. 2025 lho. ini aplikasi transportasi bukan dating apps. kocak,1
sangat membantu,5
mantapp,5
aplikasi nya eror ga bisa di gunain males dah 3 kali downlod masih aja gitu api eror,1
Gojek cukup membantu kegiatan saya,5
"aplikasi buruk sering alamat lain nyasar dirumah, titik koordinat g jelas makin buruk. hampir tiap hari ada driver nyasar dirumah n sangat menggangu, coba pake sendiri pun sudah include alamat jelas tapi salah lokasi. buruk nya aplikasi yg jelas berdampak merugikan n mengganggu. Aplikasi buruk pasti pencipta n maintenance nya juga buruk dengan pimpinan yg buruk pula. not recommended 👎👎",1
"sangat membantu disaat genting maupun longgar,,, hehe",5
"suka pakai aplikasi ini mau pesan transportasi,mau pesan makanan ataupun transaksi pakai gopay sll menyenangkan 🥰",5
pelayanan nya makin kesini makin lelet,3
good,5
ok,5
lemot,1
apk yg bagus membantu anak muda pergi sekolah dan membeli makanan,5
promo gofood terpelit. potongan 10rb min pembelian 300rb,3
nyariin drivernya lama. lemot,3
parah padahal yg respon lama driver trs saya cancel karena tidak ada kepastian dimana gocarnya saat itu ditlp atau chat gak dibalas .. malah saya yg diblok.. miriss,1
Alhamdulillah bagus..,5
good,5
ramah gojeknya,5
BANYAK SALDO COSTUMER GOPAY DI BLOKIR SEPIHAK TANPA ALASAN YG JELAS,1
semoga bisa lebih baik lagi,4
bagus,5
mantap,5
ok,5
mantap,5
kalooo diapk ada diskkon gaperna dianter sama oknum gojeknya,1
"apk aneh, masa saya tidur bisa cod makanan sendiri , mana transaksinya besar lagi.",1
sip lah,5
"kenapa jadi pesanan tambah lama karena driver di kasih double order makanya lama d setiap resto cepat saji, kita pemesan taunya kita pesan cuma satu driver padahal driver kita itu dia dapat double order makanya lambat sekarang",5
semangat selalu ojolku..,5
"driver ramah, perjalanan nyaman, terima kasih banyak",5
tai iklan,1
sangat membantu,5
voucher tiba tiba hilang,1
gopay nya kenapa sih ? setiap yg mau kirim gopay ke gue gapernah masukkk ! heran,2
"lemot bgt padahal jaringan bagus, jadi ketinggalan kereta",1
terima kasih Gojek . berkat kamu kirim barang jadi mudah.,5
ok,5
toppppppppp,5
"kebantu kalo bepergian di malam hari ,",5
"Rating 1 spesial karena Gosend Instant udah mahal tapi paket dikirim barengan, woy gw bayar selisih 50rb dari Sameday!!!! Lu dzalim banget makan duit konsumen kek gini, Kalau instant yang instant, ngide dari mana coba buat instant bisa ambil paket barengan??? PADAHAL UDAH ADA SAMEDAY YANG NOTABENE PAKET ITU DIANTARKAN BERBARENGAN!!!!!!!",1
baik,5
tolong untuk pemesanan express jika terlambat tolong buat kompensasi saya sudah 3 kali telat dengan harga yang lebih tetapi tidak dapat kompensasi,1
mantappppppp,5
pembatalan ke klik aja sulit,1
maksih . selalu bisa dipercya,5
"drivermya banyak, sehingga menunggu tidak lama.",5
"bagus,",5
sangat gerengseng,5
"Driver & motor tidak safety, saya kecelakaan saat otw ke rumah. Driver sama sekali tidak sigap (seperti tidak ada SOP bila kecelakaan), saya ke RS sendiri bersama keluarga. Biaya bayar sendiri, katanya bisa di claim di PasarPolis Insurance eh ternyata makin di proses makin banyak surat yg diminta, finally ga jadi claim. Dan yang lebih gong-nya lagi, perjalanan ditandai selesai & saldo saya ditarik. Padahal TIDAK sampai destinasi + kecelakaan. This was truly a traumatic experience.",1
Good Job,5
ga ribet kalau mau kemana-mana,5
"sangat membantu,titik lokasi lebih detail, sejauh ini...drivernya cepat dapatnya dan cepat juga datangnya",5
good,5
"drivernya ok,",5
bagus,5
Bagus...,5
sangat membantu,5
Sangat membantu,4
"apa an bgt sih, nonton you tube tiap menit keluar iklan gojek terus, ganggu bgt... 😠",1
oke lah,4
😍🤗.,5
"rute yang di gojek tidak sesuai dengan di google Maps, banyak jalan yang tidak bisa diakses masih dibikin rute sama gojek",1
ok,5
mantabbb,5
selalu memprioritaskan waktu dan sopan santun..maju terus...,5
"Selamat siang,, mau lapor saya dapet driver pelecehan seksual dan memeras saya meminta ongkos lebih dari tarif nya min dan dia juga meminta ketemu saya di tempat kosong",2
bagus sangat membantu,5
nyaman dan simple cepet,5
bagus,5
Mantap.,5
bagus,5
mantab,5
mantap memudahkan,5
sangat membantu dn bermanfaaat terimakasih gojeeekkkk🤍,5
selalu dapat yg nyaman,5
bagus,5
bagus,5
nice,5
ok,5
BAIK,5
sangat membantu,5
aplikasi ok,5
Bisa diandalkan,5
cepat sampai aman dan santun,5
keren lah pokoknya,5
"mohon maaf nih saya pengguna lama aplikasi gojek kenapa fitur gopaylater saya diblokir padahal udah 2bulan saya udah tidak punya/tidak pakai fitur tsb lagi,nunggak saja tidak pernah,kalaupun emang diblokir yasudah dikosongkan saja saldo gopaylater nya kenapa pakai ada keterangan ""akun lagi direview segala"" fitur gopaylater kok bisa bisanya PHP in konsumen nya",1
tepat waktu,5
pengantaran cepat dan aman,5
praktis dan nyaman,5
bagus,5
Pilihan PAKET DATA sekarang jadi sedikit dan rata-rata mahal,1
driver ramah,5
"kenapa gojek gak mau jemput kala u lokasi penjemputannya di pedesaan, dan mau jemput kalau di perkotaan atau tempat yang ramai saja, terus alasanya banyak yang lagi booking atau lainnya",1
ok,5
baik,5
driver baik banget,5
Haddeehhh,2
Mantap Aplikasi gojek,5
"sopan, halus berkendaranya, penumpang merasa aman",5
mantap,5
pas tepat mantap,5
"lol. udah tau ada driver yg dekat. malah dipilih yg jauh jauh. mana mahal lagi, diskonnya pas pas San.",1
"sudah bangun pagi, udh siap siap sebelum jam 6 eh telat gara gara drivernya lelet dan jauh 🙄",1
bagus pokonya no.1 terpercaya aman nyaman,5
"makanan dimahalin dari harga asli , kalau untuk.ongkir okelah ditambah lagi biaya penanganan dan bungkus yang entah dr mana asalnya.. pokoknya jadi Mahal..",2
mudah dan terpercaya,5
lumayan,4
nyaman,5
seru sih tapi belanja di GO-MART gak bisa terus mau pesan di GO-MART malah error selalu begitu gak bisa belanja di GO-MART selalu pesan di gofood mau jajan di GO-MART malah bilang belum ada disini suruh cari alamat udah masukin alamat malah gak bisa kecewa banget sekarang jarang jajan di gofood,3
apasi mesen gofood udah nunggu lama trs dpt notif driver pada sibuk sejem lagi nunggunya mending pindah ke yang pasti² ajala,1
okeee,5
gooddd,5
"suatu ketika aku kemalaman di stasiun kalap aku terburu-buru download daftar akun tapi aku salah ketik,aplikasi menolak dan suruh daftar lagi stelah 60 menit!! lo gila ya posisi jam 2 malam suruh nunggu 60 menit pake otak bikin aturan dong aplikasi seperti nya bagus admin yg bikin rulesnya sakit",1
"ketika pesanan tidak jadi diantar karena kekurangan driver, kupon yang sebelumnya dipakai tidak dikembalikan ini sangat merugikan, kawan",1
"jos pokonya, paylater aktifkan dong kaka",5
Hati2 pakai goshop. saya sudah bayar lunas pakai gopay tapi pembayaran tidak di teruskan oleh driver ke penjual. saya sudah hubungi customer service tapi tidak ada solusi,1
good job,5
Aplikasinya sangat membantu,5
ok lah,3
"pesanan sering dibatalkan, tidak ada driver",1
"suka banyak promo, tapi kenapa notif nya selalu telat ya... saya udh ke 4 kalinya disangka orderan fiktif, karena pada saat driver sampai tetapi di notif driver masih dijalan/di resto, juga yang lebih parah masa telpon dan chat dari driver telat banget nget.. saya juga pernah ngebatalin orderan di saya sudah batal.. tetapi 1 jam an, kemudian ada notif driver telp berkali kali(yg ternyata itu telp 50 mnit an lalu) rupanya orderan saya belum batal.. saya ngerasa bersalah sama drivernya 😠😭😭😭",3
"mempermudah berpergian,, tapi skrng cari driver nya agak susah ,,",4
aplikasi sering banget ngebatalin customer,1
"lama x . pengantaran reguler masa 1jam , yg bener aja. AQ lewat resto gak nya rame. sistem gojek gmna nya ini. perbaiki bagian gofoodnya. masa 1 jam AQ nunggu , gila kah. udah selesai malah bilang nya tepat waktu pula tu. auto b1",1
selalu telat tanpa ada konpensasi yang setimpal,1
oke mantap,5
driver suka marah marah gak jelas aplikasinya juga kadang error 0.5/10,1
gak makin berkembang malah makin menyusahkan.... gofood makanan gak bisa batalin padahal udah nunggu lama banget....pembeli dengan harapan makanan akan datang gak taunya dari resto gak ada konfirmasi chat atau pesan lah kalau ada kendala lha ini udah nunggu lama banget gak taunya hilang gitu aja .....bikin emosi,1
baik,5
mantap,5
aplikasi seneng makan kringat Driver,1
"mau nanya untuk merubah rating ke driver bagaimana caranya, karena pernah terjadi misscom sama driver sehingga tanpa sadar ngasih rat 1 bintang, tapi saya mau rubah karena barang yang dipesan datang walau sudah 2 jam menunggu, saya mau rubah takutnya bapak drivernya kena suspend",5
"apk begoo gak jelas titik udh akurat mlah alamat kemana""",1
bagus buat org yg mager,5
WOY CANCEL ORDER GA BISA!!!!! baru selang bbrp detik ! need to cancel!!!! tp g bisa!!!! hapus Gojek dr hp gw!!!!!!,1
sangat baik sekali,5
mantap pelayanan baik,5
transportasi online yg top banget,5
"akses komunikasi dengan resto hanya dari resto (satu arah), jadi pada saat tidak mendapat driver, mereka bisa seenaknya membatalkan pesanan sementara konsumen sudah menunggu 30 menit - 1 jam. harus ada ketegasan, misal.. kalo 5 menit resto tidak dapat driver, batalkan saja!! agar konsumen bisa cari resto lain untuk memesan. atau aktifkan saja akses chat konsumen ke resto bila lewat waktu pengantaran. biar mereka diskusi. kalo memang mau menunggu ya ditunggu, kalo mau batal ya batal.",3
"lucu ih apl nya,bahasa nya gk baku² bgt apalagi desk nya di playstore fiks admin gojek ny ank gen z wkwk",5
minta tolong hapus iklannya...sangat mengganggu pengguna HP....,1
"pesan makanan banyak buat tamu, salah semua, pas ngadu cuma disuruh foto berulang ulang tanpa solusi, sampai mau sama tamunya",1
lama bngt,1
senang nyaman,5
pembatalan gofood karena kelamaan dipersulit,1
"Driver nya manja semua, maunya enaknya doang. Kondisi jauh sedikit ngga ada yang mau ngambil. Sedangkan dapat driver yang jauh semua. Kocak.",1
terbaik,5
driver banyak deket2 tapi ga mau ambil job,1
"drivernya selalu batalin pesanan, udah berapa kali di batalin",2
"sy jarang memakai aplikasi ini, jd per hr ini 13-3-2025 sy uninstall, tlg data sy jgn disalahgunakan",3
Pelayan tambah lama tambah kurang baik. Mau batalin pesanan toko barang gak ada toko diam saja... Mungkin tutup akun aja lebih baik pakai aplikasi yg lain. Bye bye,2
maaf yg cancel drivernya karena saya sebagai pengguna tdk bisa cancel.,5
"suka sedih klo pas hujan pesen gocar gak ada yg mau ambil orderan tpi sejauh ini aplikasi ini sgt membantu, trima kasih",4
sangat membantu 👍,5
aplikasi ampas gua laper pesan goofod udah 3 kali 5 jam gua nunggu nunggu gk dapet2 driver mending di aplikasi grab lebih gampang nyari driver aplikasi ini sungguh ampas,1
SANGAT MEMBANTU & SELALU HADIR SAAT DIBUTUHKAN,5
"tolong tegur resto yang menyiapkan terlalu telat, masa saya nunggu estimasi 30mnt ditungguin sampe 1 jam lebih restonya masih masak blm dianter driver",2
alhamdulillah walaupun hujan dilayani dengan baik,5
ganti driver sampe 4x gila aja nunggu pesanan hampir 2 jam. gelo sistemnya jelek amet nyari driver yg jauh2 mulu ya pasti dibatalin fee nya ga seberapa,1
terima kasih gojek. sudah hadir memberikan layanan terbaik😚😚😚😍,5
membantu... tapi terlalu kasian buat yang pake gojek trus semakin sering dipake apk malah makin mahal ongkirnya bukan makin murah.. tolong kondisikan .,1
"kasih tegoran tegas kepada pihak resto yang teledor donk, masa iya order makanan jarak kurang dari 1km nunggu Berjam jam ngga ada kemajuan orderan... sebagai konsumen merasa dirugikan dari sisi waktu, tolong segera ditindak lanjuti untuk resto yang teledor",1
"sampah, gasengaja kepencet pesan cuma mau cek harga gk bisa di cancel",1
pembaruan peta aplicasi makin kacau... maps nyusahin driver... ngasih jalan yg ga pantas... demi motong argo kayak nya.. parah lah gojek,2
BISA BISA NYA DRIVER DI BANDAR LAMPUNG GAK ADA YANG AMBIL ORDERAN SAYA?? udah se jam padahal.. apa karna pakai tarif hemat?? yaudah gak usah dibuat kalau gitu,1
membantu banget gojek kalo lagi males keluar buat cari makan tinggal pake gofood,5
good,5
mantul pisan,5
"gofood ga jelas udah nunggu sejam endingnya ke cancel, ga cuma sekali dua kali, SERING!!! GA JELAS",1
sangat membantu saya,5
Good job 👍👍,5
mantul lah,5
asik banget applikasi ini bermanfaat untuk kebutuhan lapaar saya dapet diskon yg gak ngotak banyak banget sampe 1/2 harga dari barangnya apalagi sering juga nemu driver baik nggk judes sering banget nemu driver cuman ditambahin 2000 udh bersyukur bgt.,5
sangat membantu,4
paling ok.,5
"masak gofood udah 1,5 jam ga jadi jadi padahal fast food trus di cancel ga ada kompensasi apa apa udah diskon dikit masa udah berlangganan sama gojek plus sama akun lain yang ga langganan murah dia aneh",1
mantab jek,5
good,5
tolong dong driver mobil kalau gamau ambil penumpang pas ujan gausah punya mobil,1
sampah bner aplikasinya.dulu gk ada verifikasi muka.pas instal lgi verifikasi muka malah gagal mulu.saldo gopay w malah nyangkut,1
"Tolong Dihapus dunk akun saya.... Percuma ada gopaylater tetapi ngga bisa di gunakan.. Mau hapus sendiri, ngga bisa..",1
mantap lah 👍,5
sangat membantu dan banyak promo nya,5
"Buruk sekarang kualitasnya, driver seenaknya mengcancel.",1
saya sangat senang,5
"masukkan aja, buat gofood sebelum buat pesanan ada baiknya kalo diharuskan masukin pin gopay. meminimalisir pesanan yg gak sengaja kepencet, hari ini saya gak sengaja pesan makanan yg gak bisa saya batalkan dengan nominal yg gak sedikit. saya harap masukkannya bisa dipertimbangkan.",3
"nyari driver 1 jam lebih , parah !. hahahhaha, nunggu traffic biar ongkos naek 150% baru angkut",1
kalo milihin rute jemput yg bener masa orang suru lompat sungai,1
selalu puas dengan pelayanan gojek 👍,5
oke banget,5
"gofood sekarang mahal, harga makanan per item beda 5rb belum lagi ada biaya penanganan dan biaya bungkus mana ga semua dapat vocher diskon. pesan minuman nyampe lama banget masa harus nunggu orderan customer lain dulu baru diantar ya keburu cair esnya. nunggu sampe 2 jam mau di cancle tapi orderan sudh di bawa abang gojek. pelayanan gojek tidak seperti yang dulu, lelet dan mahal mending langsung ke restonya aja.",1
makasih,5
mantap kesopananya,5
👍,5
Sgt baik,5
apk jelek gapernah ada promo,1
"𝗠𝗮𝗸𝗶𝗻 𝗸𝗲𝗱𝗲𝗽𝗮𝗻 𝗺𝗮𝗸𝗶𝗻 𝗴𝗮𝗸 𝗯𝗮𝗴𝘂𝘀, 𝗩𝗼𝘂𝗰𝗵𝗲𝗿 𝗽𝗼𝘁𝗼𝗻𝗴𝗮𝗻 𝗵𝗮𝗿𝗴𝗮 𝘂𝗱𝗮 𝗴𝗮𝗸 𝗯𝘀 𝗱𝗮𝗽𝗮𝘁, 𝗩𝗼𝘂𝗰𝗵𝗲𝗿 𝗿𝗮𝘁𝗮𝟮 𝗸𝗵𝘂𝘀𝘂𝘀 𝘂𝘁𝗸 𝗞𝗮𝗿𝘁𝘂 𝗸𝗿𝗲𝗱𝗶𝘁 𝗯𝗮𝗻𝗸 𝘀𝗮𝗷𝗮, 𝗴𝗮𝗸 𝗸𝘆𝗸 𝗱𝗹.. 𝗺𝗮𝗸𝗶𝗻 𝗞𝗘𝗥𝗘 😅 𝗨𝗱𝗮 𝗶𝘁𝘂 𝗼𝗻𝗴𝗸𝗶𝗿 𝗺𝗮𝗸𝗶𝗻 𝗺𝗮𝗵𝗮𝗹.. 𝗸𝗮𝗱𝗮𝗻𝗴 𝗯𝗲𝗹𝗮𝗻𝗷𝗮 𝗺𝗮𝗸𝗮𝗻 𝟰𝟬𝗿𝗯 𝗹𝗲𝗯𝗶𝗵 𝗼𝗻𝗴𝗸𝗶𝗿 𝗵𝗮𝗺𝗽𝗶𝗿 𝟱𝟬𝗿𝗯 😅😅 𝗴𝗶𝗹𝗮.. 𝘀𝗶𝗮𝗽𝗮 𝗷𝘂𝗴𝗮 𝗺𝗮𝘂 𝗽𝗲𝘀𝗮𝗻... 🤣",2
sangat membantu dan banyak discount,5
Oke,5
sangat buruk,1
bagus,5
oke lahh,5
bagus uy,5
Driver sangat menyenangkan.,5
mantapp,5
gojek emang top timgkat kam layanan dan fitur2 lainnya .,5
lagi pesen gocar alamatnya ga ada di peta giliran mau chat pengemudinya ga bisa dibuka chatnya di aplikasi hadeh,1
bagus,5
top,5
"aplikasinya mudah di gunakan, dan ga pake ribet",5
terbaik dan super nyaman,5
good,5
saat pemesanan banyak yg batalin ada apa nih? saya mesen sampai sejam gk ada yg mau nerima,1
top aplikasi,5
mantap🔥🔥😙😙,5
nyaman pake gojek,5
ok,5
sangat membantu...,5
ok,5
"saya pengguna lama gojek,tapi makin kesini makin di persulit kalau pesen gojek/gocar/gofood seakan akan susah cari driver padahal diluaran banyak sekali driver gojek sekalinya dapet jauh dari lokasi, kalau mau cepet harus pake fitur pencarian cepat tapi nambah biaya bener bener dari semua sudut di bisnisin👎 kapok pake gojek!",1
okeh lah,5
"Saya pelanggan setia gojek , tapi pelayanan customer service kurang maksimal , gajelas sumpah , sama kalo rekrut driver setidaknya cari driver punya SIM ,pengalaman ,relasi atau rute atau jalan , sumpah kecewa banget asli dah , kecewa banget gua sama driver nya kalo gak bisa bertanggung jawab gausah ambil order di malam hari , mau pesen makan di malam hari buat prepare mau minum obat, tapi malah gak jadi makan hadehhhhh, kecewa dalam banget",5
Ribet amat daftar gagal Mulu,4
recommended,5
kasihan potongan driver terlalu besar padahal customer juga bayar mahal,1
ramah,5
layanan bagus,5
"simple, sangat gampang",5
"sangat membantu ,top banget",5
sangat nyaman menggunakan jasa gojek,5
ALHAMDULILLAH Cukup Memuaskan,5
"sangat amat mengecewakan sekali. niat hati mau cepat pakai ojol eh malah selalu dapat driver yg gak niat narik sampai akhirnya jadi selalu telat mau kemana""",1
mantap,5
ongkirnya kemahalan,4
sangat membantu,5
nice,5
bagus apk nya gampang mau beli makanan kalo males sama murah lagi,5
"topup saldo gopay ,selalu tiba tiba pindah ke saldo tabungan . mending2 klo cepet skrg gangguan ,setan",3
terima kasih,5
membantu banget buat kaum mager🤣🤣🙏,5
karena bisa mengajukan pinjaman juga,5
"tak ganti bintang 1 di Malang gw kena prank driver GoCar, bolak-balik di cancel driver awal nya gw dari Reddoorz Cengkeh ke Warung Mawar yg cukup deket cuma ongkos 20rb aman. begitu balik udah deh nunggu stgah jam bolak-balik di cancel driver. udah coba pake yg prioritas,pake yg xl ga bisa malah akhirnya nyangkut ama yg hemat cuma 19.500 😩 gw bukan orang susah cuy,, gw kasih tips lebih buat bapak2 nya paham gw alasannya, udah bener itu management ga perlu hargai mitra driver 👍",1
"kenapa kalo buat buka chat itu susah banget, jengkel poll",3
KECEWA BERAT!!!!,1
"layar saya dipenuhi iklan mu ,,saya kecewa ,bisa"" saya tuntut balik",1
cepat dan aman,5
ramah dan sopan trmks gojek,5
"saya senang pakai gojeg,driver nya Ramah Ramah",5
mantappp,5
"pesan gofood rugi banget disini semua harga makanan naik 10-15rb daripada harga beli langsung, selain itu ditambah ongkir minimal 22rb, admin dll. satu2nya resto yg worth buat beli cuma resto bernama kayak KFC yg harganya ga jauh beda dari harga asli. voucher? cuma bisa nutupin ongkir aja jadi masih rugi karena harga gofood dinaikin",2
"bagus sekali, saya terbantu sekali dengan aplikasi ini",5
ok ok,5
alhamdulillah sangat membantu sekali ketika di butuhkan,5
lebih baik untuk pemesanan air galon mineral dibatasin jumlahnya,5
"aplikasi aneh, gw abis top up terus masuk tapi pas mo bayar qris katanya ada yang aneh🤣🤣",1
membantu,5
good,5
ok,5
mudah digunakan dan terpercaya,5
Cepat tepat bisa dipercaya,5
"Sungguh sangat membantu dalam proses perjalanan dan order makanan, kirim paket dll",5
gps paling tidak akurat di banding aplikasi serupa yg lain,2
"tpt wkt, selalu kbr kbri, drivernya ramah2, tarif sdh sesua",5
"aplikasi stress berkali kali dapet driver maunya kita yang cancel, sekalinya dapet udah nunggu lama malah dicancel driver pas udah deket emg udah stress lu gojek",1
selalu ada promo,5
Ok,5
yh senang,5
Mudah Dan Selamat,3
murah dan nyaman,5
bagus,5
gofood nya skrg knapa ya... ga sesuai estimasi... dah nunggu lama tau tau di cancel... sementara kita yg cancel sendiri ga bisa,1
"gofoodnya sekarang udah ongkir dan harga mahal, nunggunya juga lama banget",2
the best. ga ribet. memudahkan,4
titik koordinat jarang banget sesuai kalau bisa sistemnya diperbaharui,1
cepat sampai tujuan,5
tiap buat pembayaran pdam selalu error... gak ada gunanya jadinya,3
apk yang bagus bisa buat beli makan cocok untuk orang yang mageran tapi tolong tabahkan vitur vidio cool soalnya gps rumah aku ngaco jadi kalo ada vitur vidio cool aku bisa ngasih arahan ke driver untuk mengantar ke rumah ku,5
sangat membantu,5
sangat bermanfaat,5
sedih,1
sangat membantu,5
pelanggan susah memberi rating untuk gofoodnya,1
Sekarang susah cari go car. Di tunggu sampai 10 menit tidak munculx2. Di WA chat gak dibales. sekarang tahun 2025 susah carigo car mereka dengan sengaja diam tanpa membalas WA chat. padahal tinngal 1 menit tapi gak ada pergerkan mobil jalan. sopir sepertiitu laporkan aja di kasih bintang rendah. biar ada hukumnya.,1
cepet penjeputannya,5
lebih cepat..aman,5
"untuk gojek gocar daerah samarinda,tolong jangan malas buka kursi paling belakang donk,saya order dengan kapasitas 6 orang,masa semua harus duduk didepan dan dikursi tengah desak²an.. tidak hanya 1 kali tapi berkali-kali.. kalau tau begitu mending order kapasitas kursi 4 orang saja sudah, sekalian kaya sarden desak²an.😡",3
ok,5
mantap,5
sgt membantu,5
okey ...,5
Mantap Promonya,5
mau pesan gojek,5
ok,5
Nggak pernah kecewa pake gojek,5
"kenapa saat jalan gak bisa dipantau di aplikasi, ca diam gak bergerak",3
top,5
Membantu,5
ok,5
wookeee....pokoe,5
maju gojek,5
pelayanan cepat,5
"Tolong dong min pas baru download aplikasinya, terus pengen masuk tapi salah mulu, durasi istirahatnya di kurangi jangan 60 menit, itu terlalu gila menurut gw tod, masalahnya kalo yang baru download terus ga tau apa-apa terus salah mulu dan aplikasi gojeknya lagi di butuhin itu malah merugikan si pengguna. Tolong dengerin kritik saya, jangan diam saja atau bahkan kritik saya dibungkam kayak pejabat Indo",1
"klo di chat itu dbls biar gk slh phm biar tau klo gojegny ready, nnti klo gk dbls dipikir pnumpang gagal order, jgn lupa pakek jaket ya mase",5
ok sip,5
samgat puas,5
mantap lebih mudah,5
kecewa banget pesan mkn udh ongkos mahal sush dpt driver udh kelaperan nunggu lama dan akhirnya tercancel dgn sendiri ny,1
"Jalur untuk penjemputan sering tidak sesuai. Misal untuk titik penjemputan di terminal Pulogebang pintu timur, driver tidak diarahkan untuk masuk ke terminal sehingga sering terlewat dan putar balik, penumpang harus menunggu sangat lama.",1
aplikasi sangat membantu user friendly,5
gojek makin ke sini makin aneh udh ongkos mahal pas order mkn Sush dpt driver,1
solutif,5
